EnhetNavn;Kommune;lat;lng
Båtsfjord skole;Båtsfjord;70.63308;29.717738
Boftsa oppvekstsenter Avdeling skole;Deatnu - Tana;70.3788295;28.1762119
Deanu Sàmeskuvla;Deatnu - Tana;70.19649;28.1689365
Tanabru skole;Deatnu - Tana;70.197898;28.166543
Gamvik skole;Gamvik;71.063754;28.241559
Mehamn skole;Gamvik;71.03507;27.851265
Kautokeino skole;Guovdageaidnu - Kautokeino;69.013813;23.046197
Baksalen skole;Hammerfest - Hámmerfeasta;70.657753;23.7038682
Fjordtun skole;Hammerfest - Hámmerfeasta;70.634536;23.6849732
Forsøl skole;Hammerfest - Hámmerfeasta;70.7214996;23.7964221
Fuglenes skole;Hammerfest - Hámmerfeasta;70.674135;23.6652845
Kokelv oppvekstsenter;Hammerfest - Hámmerfeasta;70.6121636;24.6414087
Kvalsund skole;Hammerfest - Hámmerfeasta;70.4985035;23.9736593
Reindalen skole;Hammerfest - Hámmerfeasta;70.6915962;23.7007339
Breivikbotn skole;Hasvik;70.591564;22.302993
Hasvik skole;Hasvik;70.4889359;22.1502253
Sørvær oppvekstsenter Avdeling skole;Hasvik;70.63010369999999;21.9851267
Karasjok grunnskole;Kárášjohka - Karasjok;69.4693965;25.5146275
Kjøllefjord skole;Lebesby;70.9449785;27.3576028
Høgtun skole;Loppa;70.250454;22.352506
Havøysund skole;Måsøy;70.9988847;24.6573876
Honningsvåg skole;Nordkapp;70.97842;25.977887
Billefjord Sjøsamiske oppvekstsenter Avdeling skole;Porsanger - Porsángu - Porsanki;70.31648009999999;25.047947
Lakselv barneskole;Porsanger - Porsángu - Porsanki;70.0486892;24.9676467
Bugøynes oppvekstsenter avd skole;Sør-Varanger;69.9734941;29.6408802
Hesseng flerbrukssenter avd skole;Sør-Varanger;69.6910628;29.98805
Kirkenes skole;Sør-Varanger;69.723396;30.0582691
Pasvik skole;Sør-Varanger;69.454864;30.054626
Sandnes og Bjørnevatn skole;Sør-Varanger;69.6687274;29.972181
Unjargga Oahppogaldu Nesseby oppvekstsenter avd skole;Unjárga - Nesseby;70.17449599999999;28.5536708
Vadsø barne- og kulturskole avd skole;Vadsø;70.0750927;29.75437509999999
Vadsø kommune Vestre Jakobselv oppvekstsenter avd skole;Vadsø;70.11798089999999;29.3359618
Vardø kommune grunnskole;Vardø;70.3705875;31.1094377
Alvdal barneskole;Alvdal;62.1043282;10.6428324
Dovre barneskole;Dovre;62.0778772;9.1257012
Eidskog montessoriskole SA;Eidskog;59.92636299999999;11.993246
Magnor skole;Eidskog;59.9452511;12.1707863
Skotterud skole;Eidskog;59.9855247;12.1361543
Elverum kommune - Ydalir skole;Elverum;60.8920444;11.580184
Frydenlund skole;Narvik;68.4412587;17.4152958
Hanstad skole;Elverum;60.8620607;11.5699666
Hernes skole;Elverum;60.9262174;11.6371196
Lillemoen skole;Elverum;60.825084;11.627237
Søbakken skole;Elverum;60.8982018;11.5681366
Sørskogbygda skole;Elverum;60.9424328;11.7805875
Vestad skole;Elverum;60.8859957;11.5398856
Engerdal barne- og ungdomsskole;Engerdal;61.8190077;11.9207648
Etnedal skule;Etnedal;60.9260411;9.6335265
Folldal skole;Folldal;62.1320915;9.9845768
Fjerdum skole;Gausdal;61.233614;10.208153
Follebu skole;Gausdal;61.2213303;10.2793651
Forset skole;Gausdal;61.2012779;10.1470106
Biri barneskole;Gjøvik;60.9535075;10.6082369
Blomhaug skole;Gjøvik;60.7866202;10.6494705
Fredheim skole;Gran;60.3907873;10.4633082
Gjøvik skole;Gjøvik;60.7947283;10.6847402
Grande skole;Gjøvik;60.8107427;10.5851946
Kopperud skole;Gjøvik;60.769142;10.6759288
Lundstein skole;Gjøvik;60.8427806;10.6631632
Snertingdal skole;Gjøvik;60.8752516;10.4038092
Steinerskolen Gjøvik-Toten;Gjøvik;60.7882821;10.6996869
Vindingstad skole;Gjøvik;60.7739847;10.6983093
Bjoneroa skole;Gran;60.5162846;10.2958473
Brandbu barneskole;Gran;60.4225035;10.5131429
Fredheim skole;Gran;60.3907873;10.4633082
Jaren skole;Gran;60.3927191;10.5779236
Sanne skole;Gran;60.367119;10.5320166
Trintom skole;Gran;60.3597266;10.5866814
Grue barne- og ungdomsskole;Grue;60.450287;12.054574
Greveløkka skole;Hamar;60.8027511;11.0657521
Hamar Montessori skole Sti;Hamar;60.8207101;11.0477278
