EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Dale barneskole;Kristiansund;54;51;51;;
Frei skole;Kristiansund;52;52;50;;
Gomalandet skole;Kristiansund;51;49;51;;
Innlandet skole;Kristiansund;60;54;54;;
Nordlandet barneskole;Kristiansund;50;49;48;;
Rensvik skole;Kristiansund;48;47;46;;
Bolsøya skole;Molde;*;*;*;;
Eidsvåg barne- og ungdomsskole;Molde;52;50;51;;
Eresfjord barne- og ungdomsskule;Molde;*;*;*;;
Kleive oppvekstsenter skole;Molde;49;49;49;;
Kvam skole;Molde;50;52;51;;
Kviltorp skole;Molde;50;51;48;;
Langmyra skole;Molde;53;53;51;;
Midsund montessoriskule AS;Molde;*;*;*;;
Midsund skule;Molde;52;48;50;;
Molde friskole;Molde;*;*;*;;
Nordbyen skole;Molde;53;54;53;;
Sellanrå skole;Molde;48;51;51;;
Skjevik barne- og ungdomsskole;Molde;;*;*;;
Tøndergård skole og ressurssenter;Molde;;;;;
Vistdal oppvekstsenter skole;Molde;*;*;*;;
Vågsetra barne- og ungdomsskole;Molde;45;;;;
Innfjorden friskole SA;Rauma;*;*;*;;
Isfjorden skole;Rauma;50;53;54;;
Måndalen barne- og ungdomsskule;Rauma;*;*;*;;
Åfarnes barne- og ungdomsskole;Rauma;*;*;*;;
Åndalsnes barneskole;Rauma;52;51;50;;
Gursken oppvekstsenter avd skule;Sande;*;*;*;;
Kvamsøy barne- og ungdomsskule;Sande;*;*;*;;
Larsnes skule;Sande;50;52;54;;
Smøla barneskole;Smøla;49;48;45;;
Geiranger skule;Stranda;*;*;*;;
Ringstad skule;Stranda;49;46;51;;
Sunnylven skule;Stranda;*;*;*;;
Langevåg skule;Sula;51;47;47;;
Rørstadmarka skule;Sula;51;47;49;;
Solevåg skule;Sula;51;48;52;;
Gjøra oppvekstsenter avd skule;Sunndal;*;*;*;;
Løykja skole;Sunndal;*;*;*;;
Sande skole;Sunndal;53;50;49;;
Tredal skole;Sunndal;55;52;51;;
Ålvundfjord skule;Sunndal;56;55;54;;
Bøfjorden og Bæverfjord oppvekstsenter avd Bæverfjord skule;Surnadal;*;*;*;;
Mo oppvekstsenter avd skule;Surnadal;*;*;*;;
Surnadal barne- og ungdomsskule;Surnadal;46;46;46;;
Todalen og Stangvik oppvekstsenter;Surnadal;41;42;51;;
Aure skule;Sykkylven;47;48;50;;
Hundeidvik privatskule AS;Sykkylven;*;*;*;;
Sørestranda skule;Sykkylven;*;48;51;;
Ullavik skule;Sykkylven;*;49;49;;
Velledalen montessoriskule AS;Sykkylven;*;*;*;;
Vik skule;Sykkylven;48;46;50;;
Meisingset oppvekstsenter avd skole;Tingvoll;*;*;*;;
Straumsnes barne- og ungdomsskole;Tingvoll;*;*;*;;
Tingvoll barne- og ungdomsskole;Tingvoll;46;48;47;;
Haddal skule;Ulstein;*;*;*;;
Hasund skule;Ulstein;*;*;*;;
Ulstein skule;Ulstein;*;*;*;;
Ulsteinvik barneskule;Ulstein;49;50;49;;
Fiskå skule;Vanylven;48;52;*;;
Myklebust skule;Vanylven;*;*;*;;
Åheim skule;Vanylven;*;*;*;;
Fiksdal friskule SA;Vestnes;*;*;*;;
Helland barneskule;Vestnes;49;48;47;;
Tomrefjord skule;Vestnes;52;50;50;;
Tresfjord Enspire skule;Vestnes;*;*;*;;
Vike montessoriskule SA;Vestnes;44;42;42;;
Bratteberg skule;Volda;46;50;51;;
Dalsfjord skule;Volda;;;;;
Folkestad skule;Volda;*;*;*;;
Hornindal skule;Volda;53;51;55;;
Mork skule;Volda;*;*;*;;
Ulvestad barneskule AS;Volda;*;*;*;;
Øyra skule;Volda;50;48;48;;
Dalane skule;Ørsta;41;36;38;;
Hovden skule;Ørsta;51;50;50;;
Sæbø skule;Ørsta;*;*;*;;
Vartdal skule;Ørsta;*;*;*;;
Velle skule;Ørsta;46;47;51;;
Vikemarka skule;Ørsta;55;53;52;;
Åmås friskule;Ørsta;*;*;*;;
Ålesund;Ålesund (2020 - 2023);50;50;51;;
Aspøy skole;Ålesund (2020 - 2023);59;53;54;;
Blindheim barneskole;Ålesund (2020 - 2023);47;47;49;;
Brattvåg barneskule;Ålesund (2020 - 2023);49;44;48;;
Ellingsøy barne- og ungdomsskole;Ålesund (2020 - 2023);49;49;50;;
Emblem skule;Ålesund (2020 - 2023);48;51;51;;
Flem skule;Ålesund (2020 - 2023);*;*;*;;
Flisnes skole;Ålesund (2020 - 2023);46;50;50;;
Grytastranda montessoriskule;Ålesund (2020 - 2023);41;46;47;;
Haramsøy barne- og ungdomsskule;Ålesund (2020 - 2023);*;*;*;;
Harøy skule;Ålesund (2020 - 2023);57;51;54;;
Hatlane skole;Ålesund (2020 - 2023);50;52;53;;
Hessa skole;Ålesund (2020 - 2023);53;51;55;;
Hildre montessoriskule SA;Ålesund (2020 - 2023);*;*;*;;
Larsgården skole;Ålesund (2020 - 2023);52;54;49;;
Lerstad barneskole;Ålesund (2020 - 2023);51;48;51;;
Møre barne- og ungdomsskule Skodje AS;Ålesund (2020 - 2023);*;*;*;;
Skodje barne- og ungdomsskole avd barneskole;Ålesund (2020 - 2023);49;50;50;;
Spjelkavik barneskole;Ålesund (2020 - 2023);53;53;52;;
Steinerskolen Ålesund;Ålesund (2020 - 2023);*;*;*;;
Stette friskule SA;Ålesund (2020 - 2023);*;*;*;;
Stokke og Vik skole;Ålesund (2020 - 2023);47;50;51;;
Søvik barneskule;Ålesund (2020 - 2023);51;48;52;;
Tennfjord barneskule;Ålesund (2020 - 2023);50;51;52;;
