EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Frei ungdomsskole;Kristiansund;51;50;52;;
Nordlandet ungdomsskole;Kristiansund;50;50;49;;
Bekkevoll ungdomsskole;Molde;;;;;
Bergmo ungdomsskole;Molde;49;49;52;;
Eidsvåg barne- og ungdomsskole;Molde;51;50;49;;
Eresfjord barne- og ungdomsskule;Molde;*;*;*;;
Midsund skule;Molde;49;48;51;;
Molde friskole;Molde;54;55;*;;
Sekken oppvekstsenter skole;Molde;*;*;*;;
Skjevik barne- og ungdomsskole;Molde;48;46;44;;
Tøndergård skole og ressurssenter;Molde;*;*;*;;
Vågsetra barne- og ungdomsskole;Molde;;50;50;;
Måndalen barne- og ungdomsskule;Rauma;*;*;*;;
Åfarnes barne- og ungdomsskole;Rauma;*;*;*;;
Åndalsnes ungdomsskole;Rauma;49;50;51;;
Gursken oppvekstsenter avd skule;Sande;*;*;*;;
Kvamsøy barne- og ungdomsskule;Sande;*;*;*;;
Smøla ungdomsskole;Smøla;49;51;49;;
Geiranger skule;Stranda;*;*;*;;
Stranda ungdomsskule;Stranda;*;*;*;;
Sunnylven skule;Stranda;*;*;*;;
Sula ungdomsskule;Sula;49;50;52;;
Sunndal ungdomsskole;Sunndal;47;47;48;;
Surnadal barne- og ungdomsskule;Surnadal;49;46;48;;
Sykkylven ungdomsskule;Sykkylven;47;48;48;;
Straumsnes barne- og ungdomsskole;Tingvoll;53;53;53;;
Tingvoll barne- og ungdomsskole;Tingvoll;49;50;46;;
Ulstein ungdomsskule;Ulstein;50;49;53;;
Myklebust skule;Vanylven;*;*;*;;
Åheim skule;Vanylven;*;*;*;;
Helland ungdomsskule;Vestnes;42;41;42;;
Tomrefjord skule;Vestnes;46;47;48;;
Dalsfjord skule;Volda;*;*;*;;
Folkestad skule;Volda;*;*;*;;
Hornindal skule;Volda;51;50;47;;
Volda ungdomsskule;Volda;51;52;51;;
Sæbø skule;Ørsta;*;*;*;;
